"FullPath","Ext","SizeBytes","LastModified","Created","First120","DeltaMin"
"C:\job\VCAM 2D+3D CCS\Setup1\DieAlignment.dat_block.ini",".ini","118","2025-05-26 13:15","2026-05-17 11:18","[General] IsMultiIndex=0 DieCount=1 [Die_0] Row=0 Col=0 PosX=0.000 PosY=0.000 SizeX=7336.000 SizeY=7336.000 ","-512524"
"C:\job\VCAM 2D+3D CCS\Setup1\Metadata.ini",".ini","104","2025-02-17 08:50","2026-05-17 11:18","[General] name=Setup1 Id=db3855e5-accd-457e-af5f-a8395a1f6068 Version=1 LastActiveRecipe=x10 + CCS ","-653908"
"C:\job\VCAM 2D+3D CCS\Setup1\MultiRecipe.ini",".ini","372","2025-02-17 08:50","2026-05-17 11:18","[Scan] SamplingCount=0 SamplingYield=0 MergingThreadCount=0 doSeparateRecipe=1 DoGrabAfterMerge=0 Recipes= RecipesPos= R","-653908"
"C:\job\VCAM 2D+3D CCS\Setup1\ProductionInfo.ini",".ini","194","2025-02-12 11:39","2026-05-17 11:18","[General] WaferDefectsCount=0 WaferDefectDiceRatio=0.000 WaferDefectClassId=0 WaferDefectClassIdCount=0 BatchPassWafersC","-660939"
"C:\job\VCAM 2D+3D CCS\Setup1\RecipesInfo.ini",".ini","795","2025-02-11 17:45","2026-05-17 11:18","[Recipe-1] Name=x5 DiePitchX=6300 DiePitchY=6300 ScanMag=5 ColorPixelSize=0 Scan2DPixelSize=1.693 VerCam=4 VerMag=5 [Rec","-662013"
"C:\job\VCAM 2D+3D CCS\Setup1\ScanCondition.ini",".ini","23","2025-02-11 14:51","2026-05-17 11:18","[General] IsActive=0 ","-662187"
"C:\job\VCAM 2D+3D CCS\Setup1\Wafer2Table.ini",".ini","1131","2025-05-26 13:06","2026-05-17 11:18","[WAFER ALIGNMENT] Wafer2Table_X=          0.9999879558        -0.0007905873   -157306.1596018233 Wafer2Table_Y=         ","-512532"
"C:\job\VCAM 2D+3D CCS\Setup1\Recipes\x10 + CCS\Alignment.ini",".ini","53","2025-02-27 10:02","2026-05-17 11:19","[WAFER ALIGNMENT] CoarseAlignDone=1 Rotate  w2t=0 ","-639437"
"C:\job\VCAM 2D+3D CCS\Setup1\Recipes\x10 + CCS\AlignmentData.ini",".ini","786","2025-02-11 17:28","2026-05-17 11:19","[General] MinScore=85 MinTargetScore=0 IsAffineEnabled=1 AlignPointsNum=8 ForceToGMF=0 [Point_0] X=157294.033305 Y=15761","-662031"
"C:\job\VCAM 2D+3D CCS\Setup1\Recipes\x10 + CCS\AlignRtp.ini",".ini","2896","2025-05-26 13:06","2026-05-17 11:19","[GENERAL] AliasDelta_%=25 RegModelFileName=DieMapRegPos.dat RotateModel=1 SeparateDice=1 _01_GENERAL=0 UseRegReference=1","-512532"
"C:\job\VCAM 2D+3D CCS\Setup1\Recipes\x10 + CCS\Bumps.dat",".dat","0","2025-02-11 14:48","2026-05-17 11:19","","-662191"
"C:\job\VCAM 2D+3D CCS\Setup1\Recipes\x10 + CCS\CcsLocalMeas.ini",".ini","194","2025-02-11 18:18","2026-05-17 11:19","[ScanParams] MarginX=0 MarginY=0 ScanStepX=0.5 ScanStepY=0.5 ScanDefects_Enabled=0 ScanDefects_SizeX=2 ScanDefects_SizeY","-661980"
"C:\job\VCAM 2D+3D CCS\Setup1\Recipes\x10 + CCS\CleanReferenceFinalParams.ini",".ini","951","2025-02-11 14:48","2026-05-17 11:19","[General] Version=2 [CleanRefParams] SizeX=2048 SizeY=2048 minCriteria=-2 maxCriteria=-1 minCreateMul=2 maxCreateMul=2 m","-662191"
"C:\job\VCAM 2D+3D CCS\Setup1\Recipes\x10 + CCS\CreateReference3dOptions.ini",".ini","307","2025-02-11 14:48","2026-05-17 11:19","[General] Version=0 Debug=0 [Registration] ReferenceRegBy=0 BigBlockRowsNumber=1000 YPartitionsNumber=3 MaxErrorPix=5 PS","-662191"
